Title,Venue,Year published,Type of Paper,SE Problem,Data-Scale,SE Data,[data] Code,[data] Repo Metadata,[data] I/O Examples,Data Preprocessing,[pre] Tokenization,[pre] Neural Embedding,[pre] I/O Vectors,Learning Type,Architectures,Tuning,Learning Algorithm,Loss Function,Metrics,[metric] Coverage & Proportions,[metric] Ranking,[metric] Alignment Score,[metric] Approx Error,[metric] ROC or AUC,[metric] Accuracy,[metric] Precision,[metric] Recall,[metric] F1,Novel Automation,Exploratory Data Analysis,Occam's Razor,Missing Learning Elements,Combat Overfitting,[over] hyper-tuning,[over] custom,[over] Data Augmentation,[over] Data Balancing,[over] Cross-Validation,[over] Early Stop,[over] Data Cleaning,[over] Dropout,[over] L# Regularization,[over] Large Dataset,Replicability,Reproducible,[repro] Learning Algorithm,[repro] Loss Function,[repro] Hyperparameters,[repro] TVT Details Missing,[repro] Embedding Details,[repro] Regularization ,[repro] EDA,[repro] Extraction Details,[repro] Missing Filtering Details,[repro] No Repo
Automatically Learning Semantic Features for Defect Prediction,ICSE,2016,Technical,Reliability & Defect Prediction,Thousands,Code,Analytics-Graphical,non-RepoMeta,non-I/O,One Hot,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,semi-supervised,Dual-arch,Random Search,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,Hyper,tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Automating Intention Mining,TSE,2018,Journal,Developer Intention Mining,Thousands,Repo Metadata,non-Code,Issues,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,Custom-Manual-Empirical,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,batch-norm,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Bayesian specification learning for finding API usage errors,FSE,2017,Journal,Bug-Fixing Process,Hundreds,LDA,Program,non-RepoMeta,non-I/O,One Hot,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,no-Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Automatic Text Input Generation for Mobile Testing,ICSE,2017,Journal,Software Testing,Thousands,Vision,non-Code,Diffs,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,N/A-Loss,Coverage & Proportions,Coverage-Based,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
CCLearner: A Deep Learning-Based Clone Detection Approach,ICSME,2017,Journal,Clone Detection,Millions,Code,Methods,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,FNN,Grid Search,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Combining Symbolic Expressions and Black-box Function Evaluations in Neural Programs,ICLR,2018,Technical,Program Synthesis,Thousands,Symbolic Equations,Program,non-RepoMeta,non-I/O,One Hot,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RvNNs,Grid Search,Gradient Descent,MSE,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,non-F1,Increased Performance Over Predeccesor,EDA,Razor,no-miss-learning,data-balancing,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,over-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports,ASE,2015,Short Paper,Bug-Fixing Process,Tens,Bug Report,Class,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,AutoEncoder,non-IOVect,unsupervised,RBM,No Tunning,N/A-Learning,Unsupervised-Loss,Dual-metric,non-cover,MRR,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Compiler Fuzzing Through Deep Learning,ISSTA,2018,Technical,Software Testing,Thousands,Code,Program,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,unsupervised,RNN,Custom-Manual-Empirical,Gradient Descent,Unsupervised-Loss,Coverage & Proportions,Rate-Based,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,Reprod,non-LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep API Learning,FSE,2016,Technical,Souce Code Generation,Millions,Natural,Snippets,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Grid Search,Gradient Descent,Negative Log Likelihood,Alignment,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Understanding of the Topic,no-EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,repro-embed,repro-regularization,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep Code Search,ICSE,2018,Technical,Source Code Retrieval & Traceability,Thousands,Natural,Snippets,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,Cosine Loss,Trial-metric,Rate-Based,Dual-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,EDA,Razor,no-miss-learning,hyper-tuning,over-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep Green: Modelling Time-Series of Software Energy Consumption,ICSME,2017,Journal,Software Energy Metrics,Tens,Time,Program,non-RepoMeta,non-I/O,MTEF,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,MRE,Coverage & Proportions,Energy or Memory,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Solving Previously Unsolvable Problems,no-EDA,Razor,no-miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Deep Learning Based Feature Envy Detection,ASE,2018,Technical,Code Smells,Thousands,Code,Trial-code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,Grid Search,Gradient Descent,Binary Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,miss-learning,cross-validation,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep learning code fragments for code clone detection,ASE,2016,Technical,Clone Detection,Hundreds,Code,Dual-code,non-RepoMeta,non-I/O,One Hot,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Autoencoder,Random Search,Gradient Descent,N/A-Loss,Timing,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,non-Recall,non-F1,Replacing Expertise,EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Deep learning similarities from different representations of source code,MSR,2018,Technical,Clone Detection,Tens,Code,Quadral-code,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,unsupervised,Autoencoder,No Tunning,Gradient Descent,Unsupervised-Loss,Dual-metric,non-cover,Spearmans,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Advanced Architecture / Novelty,EDA,no-Razor,no-miss-learning,cross-validation,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep Learning Type Inference,FSE,2018,Technical,Code Comprehension,Hundreds,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep Specification Mining,ISSTA,2018,Technical,Code Comprehension,Tens,Execution Traces,Class,non-RepoMeta,non-I/O,Execution Trace,non-Tokenization,non-NeuralEmb,non-IOVect,unsupervised,RNN,No Tunning,N/A-Learning,Unsupervised-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deepcoder: Learning to write programs,ICLR,2017,Technical,Program Synthesis,Thousands,Dual-data,Class,non-RepoMeta,I/O,One Hot,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,Cross-entropy,Timing,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,no-EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,repro-regularization,repro-EDA,non-ExDe,repro-Filter,NoRepo
Differentiable programs with neural libraries,ICML,2017,Technical,Program Synthesis,Thousands,PPBE,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,RNN,No Tunning,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Solving Previously Unsolvable Problems,no-EDA,Razor,miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,repro-loss,Hyper,tvt,non-repro-embed,non-repro-regul,repro-EDA,ExDe,repro-Filter,NoRepo
DRLgencert: Deep Learning-Based Automated Testing of Certificate Verification in SSL/TLS Implementations,ICSME,2018,Technical,Software Security,Thousands,Certificates,non-Code,non-RepoMeta,non-I/O,Lookup Tables,non-Tokenization,non-NeuralEmb,non-IOVect,unsupervised,DRL,No Tunning,Reward Policy,Q-Learning,Coverage & Proportions,Rate-Based,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,no-Razor,miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,NoRepo
DSM: A Specification Mining Tool Using Recurrent Neural Network Based Language Model,FSE,2018,Short Paper,Code Comprehension,Tens,Execution Traces,Methods,non-RepoMeta,non-I/O,Prefix Tree,non-Tokenization,non-NeuralEmb,non-IOVect,unsupervised,RNN,Custom-Manual-Empirical,N/A-Learning,Unsupervised-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,F1,Increased Automation / Efficiency,no-EDA,no-Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,tvt,non-repro-embed,repro-regularization,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Dynamic Neural Program Embedding for Program Repair,ICLR,2018,Journal,Program Repair,Thousands,Execution Traces,Program,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,no-EDA,no-Razor,no-miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Exploring the use of deep learning for feature location,ICSME,2015,Short Paper,Feature Location,Tens,Natural,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,FNN,No Tunning,Gradient Descent,N/A-Loss,Ranking,non-cover,MRR,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,repro-regularization,repro-EDA,non-ExDe,non-Filter,NoRepo
From UI Design Image to GUI Skeleton: A Neural Machine Translator to Bootstrap Mobile GUI Implementation,ICSE,2018,Technical,Image2Structure,Thousands,Vision,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,Encoder-Decoder,Unknown Method,Gradient Descent,Max Log Likelihood,Dual-metric,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,EDA,no-Razor,no-miss-learning,custom,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
How Well Do Change Sequences Predict Defects? Sequence Learning from Software Changes,TSE,2018,Journal,Reliability & Defect Prediction,Tens,Repo Metadata,non-Code,Tabular,non-I/O,CSSI,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,Cross-entropy,Dual-metric,Solved Tasks,non-rank,non-alignment,non-approx,RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,l-regularization,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
