Title,Venue,Year published,Type of Paper,Other Metrics,MRR,ROC or AUC,BLEU Score,Accuracy,Precision,Recall,F1 Measure,Data-Scale,Tuning,Opt. Method,Learning-Algorithm,Loss Function,SE Task,Other SE Data,Repo Metadata,I/O Examples,Vision,Source Code,Natural Language,Data Preprocessing,Learning Type,Architectures,Automation Impact,Reproducible,Extraction Details,Preprocessing Details,Learning Algorithm,No Repo,Hyperparameters,Filtering Details
Bayesian specification learning for finding API usage errors,FSE,2017,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Hundreds,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,Bug-Fixing,LDA,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,One Hot,supervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,Hyper,Filter
Are deep neural networks the best choice for modeling source code?,FSE,2017,Journal Paper,N/A-metrics,mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Cross-entropy,Source Code Generation,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,unsupervised,RNN,Increased Understanding of the Topic,non-Reprod,ExDe,non-Prep,LearningAlg,NoRepo,non-Hyper,Filter
CCLearner: A Deep Learning-Based Clone Detection Approach,ICSME,2017,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Millions,Opt. Method,Grid Search,N/A-Learning,N/A-Loss,Clone Detection,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,FNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,non-Hyper,non-Filter
Deep Green: Modelling Time-Series of Software Energy Consumption,ICSME,2017,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Tens,N/A-Tuning,N/A-OptMethod,Gradient Descent,MRE,Software Energy,Time,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,MTEF,supervised,RNN,Solving Previously Unsolvable Problems,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,Hyper,Filter
Differentiable programs with neural libraries,ICML,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Program Synthesis,PPBE,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,RNN,Solving Previously Unsolvable Problems,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,Filter
Image-to-markup generation with coarse-to-fine attention,ICML,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Max Log Likelihood,Image2Structure,N/A-Data,non-RepoMeta,non-I/O,Vision,non-Code,non-Natural,Neural Embedding,supervised,Encoder-Decoder,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,Hyper,non-Filter
Learn&Fuzz: Machine learning for input fuzzing,ASE,2017,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,CFGLA,CFGLA,Testing,N/A-Data,non-RepoMeta,non-I/O,non-Vision,non-Code,Natural,PDF Vector,supervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,NoRepo,non-Hyper,non-Filter
Learning to align the source code to the compiled object code,ICML,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Negative Log Likelihood,Code Comprenhension,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,Encoder-Decoder,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,non-Filter
Learning to Predict Severity of Software Vulnerability Using Only Vulnerability Description,ICSME,2017,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Hinge Loss,Security,N/A-Data,non-RepoMeta,non-I/O,non-Vision,non-Code,Natural,Neural Embedding,supervised,CNN,Replacing Expertise,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,Hyper,Filter
Making neural programming architectures generalize via recursion,ICLR,2017,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Hundreds,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,Synthesis,Execution Traces,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Execution Trace,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,Hyper,Filter
Neural program metainduction.,neurIPs,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Cross-entropy,Program Synthesis,Karel DSL,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Execution Trace,supervised,Encoder-Decoder,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Deepcoder: Learning to write programs,ICLR,2017,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,One Hot,supervised,Encoder-Decoder,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Robustfill: Neural program learning under noisy i/o,ICML,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Millions,Unknown Method,Unknown,Gradient Descent,Max Log Likelihood,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Semantically Enhanced Software Traceability Using Deep Learning Techniques,ICSE,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Negative Log Likelihood,Retrieval-Trace,N/A-Data,non-RepoMeta,non-I/O,non-Vision,non-Code,Natural,Neural Embedding,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,ExDe,non-Prep,LearningAlg,NoRepo,non-Hyper,Filter
Towards Accurate Duplicate Bug Retrieval Using Deep Learning Techniques,ICSME,2017,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Thousands,Unknown Method,Unknown,Gradient Descent,Cross-entropy,Retrieval-Trace,Bug Report,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,both,Siamese,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
Predicting and Evaluating Software Model Growth in the Automotive Industry,ICSME,2017,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Tens,No Tunning,N/A-OptMethod,N/A-Learning,N/A-Loss,non-Code Related,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Code Metrics Vectors,supervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,Prep,LearningAlg,NoRepo,non-Hyper,non-Filter
Predicting Delivery Capability in Iterative Software Development,TSE,2017,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,non-Code Related,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Issue Report Features,supervised,FNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,Hyper,Filter
Predicting the delay of issues with due dates in software projects,EMSE,2017,Journal Paper,metrics,non-mrr,RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,non-Code Related,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Issue Report Features,supervised,FNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,Prep,LearningAlg,NoRepo,Hyper,Filter
Automatic categorization with deep neural network for open-source Java projects,ICSE,2017,Short Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Categorization,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,FNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,LearningAlg,NoRepo,Hyper,non-Filter
A Neural Framework for Retrieval and Summarization of Source Code,ASE,2018,Short Paper,metrics,mrr,non-RocOrAUC,BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,VAE,Max Log Likelihood,Retrieval-Trace & Code Summarization,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,Natural,Tokenization,supervised,Autoencoder,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
An Empirical Investigation into Learning Bug-fixing Patches in the Wild via Neural Machine Translation,ASE,2018,Short Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Negative Log Likelihood,Program Repair,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,Encoder-Decoder,Replacing Expertise,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Deep Learning Based Feature Envy Detection,ASE,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Binary Cross-entropy,Code Smells,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Neural Embedding,supervised,CNN,Increased Automation / Efficiency,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Neural Code Comprehension: A Learnable Representation of Code Semantics,neurIPs,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Hundreds,No Tunning,N/A-OptMethod,Gradient Descent,Cross-entropy,Bug-Fixing,Flow Graphs,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Flow Graphs,supervised,RNN,Increased Understanding of the Topic,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Neural guided constraint logic programming for program synthesis,neurIPs,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,I/O Vectors,supervised,GNN,Increased Automation / Efficiency,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Improving Automatic Source Code Summarization via Deep Reinforcement Learning,ASE,2018,Technical,metrics,non-mrr,non-RocOrAUC,BLEU,non-Acc,non-Prec,non-Recall,non-F1,Millions,No Tunning,N/A-OptMethod,Gradient Descent,MSE,Code Summarization,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,Encoder-Decoder,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Neural Program Synthesis from Diverse Demonstration Videos,ICML,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Binary Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,non-I/O,Vision,non-Code,non-Natural,Neural Embedding,supervised,Encoder-Decoder,Replacing Expertise,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,Hyper,Filter
Neural sketch learning for conditional program generation,ICLR,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,Encoder-Decoder,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,Filter
Neural-augmented Static Analysis of Android Communication,FSE,2018,Journal Paper,metrics,non-mrr,RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,Security,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,ic3,supervised,TDE,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,non-Filter
Neuro-Symbolic Program Corrector for Introductory Programming Assignments,ICSE,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,N/A-Loss,Program Repair,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,RNN,Replacing Expertise,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
On the Adoption of Neural Networks in Modeling Software Reliability,FSE,2018,Short Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,N/A,Opt. Method,Random Search,Gradient Descent,MSE,Reliability/Defect Prediction,Time,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,N/A,supervised,Encoder-Decoder,Increased Automation / Efficiency,non-Reprod,ExDe,Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Leveraging grammar and reinforcement learning for neural program synthesis,ICLR,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Max Log Likelihood,Program Synthesis,Karel DSL,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,I/O Vectors,reinforcement,RNN,Advanced Architecture / Novelty,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Neural-guided deductive search for real-time program synthesis from examples,ICLR,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Max Log Likelihood,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,I/O Vectors,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Towards synthesizing complex programs from input-output,ICLR,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,No Tunning,N/A-OptMethod,Gradient Descent,Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,Lookup Tables,reinforcement,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
On the Naturalness of Proofs,FSE,2018,Short Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Negative Log Likelihood,Program Synthesis,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,RNN,Increased Understanding of the Topic,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,Hyper,Filter
Oreo: Detection of Clones in the Twilight Zone,FSE,2018,Journal Paper,N/A-metrics,non-mrr,RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Cross-entropy,Clone Detection,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Code Metrics Vectors,supervised,Siamese,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
Deep Learning Type Inference,FSE,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Hundreds,No Tunning,N/A-OptMethod,Gradient Descent,Cross-entropy,Code Comprenhension,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,RNN,Increased Automation / Efficiency,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
DSM: A Specification Mining Tool Using Recurrent Neural Network Based Language Model,FSE,2018,Short Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,F1,Tens,Manual,N/A-OptMethod,N/A-Learning,N/A-Loss,Code Comprenhension,Execution Traces,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Prefix Tree,unsupervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,non-Hyper,non-Filter
Combining Symbolic Expressions and Black-box Function Evaluations in Neural Programs,ICLR,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,MSE,Program Synthesis,Symbolic Equations,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,One Hot,supervised,RNN,Increased Performance Over Predeccesor,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Deep Code Search,ICSE,2018,Technical,metrics,mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cosine Loss,Retrieval-Trace,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,Natural,Neural Embedding,supervised,RNN,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,Hyper,non-Filter
